#Speed,Bearing,time,lat,lng
1.70260050719,-0.249303350416,1596,23.5720216667,87.27735
2.38122462167,-0.325656388851,1597,23.572085,87.2773266667
2.38123365599,-0.325657541968,1598,23.5721483333,87.2773033333
2.55119503823,-0.331059056056,1599,23.572215,87.2772783333
2.8903830494,-0.380096017661,1600,23.57228,87.27725
3.39955075451,-0.439383943959,1601,23.572345,87.2772166667
3.56930161261,-0.458458067843,1602,23.57241,87.2771816667
3.9090478649,-0.474916132874,1603,23.5724783333,87.2771433333
3.56977858277,-0.420872431265,1604,23.57255,87.2771083333
3.56977663895,-0.420872227868,1605,23.5726216667,87.2770733333
3.40004650698,-0.402974517848,1606,23.5726933333,87.27704
3.56977274695,-0.420871820702,1607,23.572765,87.277005
3.57002865241,-0.404176001789,1608,23.57284,87.27697
3.90924966229,-0.455815622894,1609,23.5729116667,87.2769316667
3.90914399521,-0.465183908842,1610,23.5729816667,87.2768933333
3.90913172825,-0.465182649263,1611,23.5730516667,87.276855
3.90891022572,-0.485026520025,1612,23.5731183333,87.2768166667
3.73926607424,-0.457071950611,1613,23.5731866667,87.27678
3.73915082778,-0.466924751095,1614,23.5732533333,87.2767433333
3.56939271459,-0.448485054868,1615,23.57332,87.2767083333
3.56927514399,-0.45845512117,1616,23.573385,87.2766733333
3.56894367436,-0.490984240643,1617,23.573445,87.2766383333
3.39885595029,-0.507042999999,1618,23.5735,87.276605
3.39856369666,-0.548491056461,1619,23.57355,87.2765716667
3.0584476584,-0.602226452048,1620,23.57359,87.2765416667
1.86926443826,-0.535302882645,1621,23.5736183333,87.2765233333
1.18944569436,-0.57043173731,1622,23.573635,87.2765116667
0.509741013186,-0.602223962368,1623,23.5736416667,87.2765066667
0.169893112348,-0.741912011504,1624,23.5736433333,87.276505
0.0,0.0,1625,23.5736433333,87.276505
0.0,0.0,1626,23.5736433333,87.276505
0.0,0.0,1627,23.5736433333,87.276505
0.0,0.0,1628,23.5736433333,87.276505
0.0,0.0,1629,23.5736433333,87.276505
0.0,0.0,1630,23.5736433333,87.276505
0.0,0.0,1631,23.5736433333,87.276505
0.0,0.0,1632,23.5736433333,87.276505
0.0,0.0,1633,23.5736433333,87.276505
0.0,0.0,1634,23.5736433333,87.276505
0.0,0.0,1635,23.5736433333,87.276505
0.0,0.0,1636,23.5736433333,87.276505
0.0,0.0,1637,23.5736433333,87.276505
0.679931626376,-0.429712705765,1638,23.5736566667,87.2764983333
0.51060220144,-0.2683337412,1639,23.5736733333,87.2764933333
1.18986729535,-0.429709340976,1640,23.5736966667,87.2764816667
1.69958926197,-0.470975207369,1641,23.5737266667,87.276465
1.69970273698,-0.449464349274,1642,23.5737583333,87.2764483333
1.69993831995,-0.411527614603,1643,23.5737933333,87.2764316667
1.86980711661,-0.429713231612,1644,23.57383,87.2764133333
2.37950433049,-0.458453391472,1645,23.5738733333,87.27639
2.71935918224,-0.468181142591,1646,23.5739216667,87.2763633333
2.8892215834,-0.479026865968,1647,23.5739716667,87.276335
3.22897356458,-0.498378529915,1648,23.574025,87.2763033333
3.39884095359,-0.507041125162,1649,23.57408,87.27627
3.73870019462,-0.510572272082,1650,23.57414,87.2762333333
3.5692528824,-0.458452642851,1651,23.574205,87.2761983333
3.73889347536,-0.487849597746,1652,23.5742683333,87.2761616667
3.73923336863,-0.457068482454,1653,23.5743366667,87.276125
3.73911811965,-0.466921230696,1654,23.5744033333,87.2760883333
