#x,y,z,time
-0.17049545,0.39083725,0.8187973,60806407
-0.017663268,0.37616774,0.6996451,60806608
-0.106877744,0.38724473,0.7069798,60806808
-0.068258055,0.4700226,0.60204804,60807008
-0.07005432,0.4670288,0.7021898,60807208
-0.16301101,0.35072067,0.65892977,60807407
0.018112335,0.34533188,0.6095325,60807608
0.017663268,0.38410127,0.6604266,60807808
0.069455564,0.35356477,0.7246431,60812407
0.041613463,-0.121996306,0.8216414,60854806,BusStop_1+
0.013172608,-0.119002536,0.79514647,60855005,BusStop_1+
0.0059875487,-0.106877744,0.77044785,60855205,BusStop_1+
0.03727249,-0.084873505,0.780477,60855406,BusStop_1+
0.036973115,-0.08831634,0.80996567,60855606,BusStop_1+
0.048798524,-0.0981958,0.82643145,60855806,BusStop_1+
0.0371228,-0.07993378,0.859812,60856006,BusStop_1+
0.04924759,-0.10178833,0.8637039,60856206,BusStop_1+
0.033679962,-0.09131012,0.84963316,60856406,BusStop_1+
0.021704864,-0.107027434,0.7981403,60856606,BusStop_1+
0.0092807,-0.11585907,0.7857161,60856806,BusStop_1+
0.020357667,-0.09325607,0.81191164,60857006,BusStop_1+
0.023201752,-0.10957214,0.81984514,60857206,BusStop_1+
0.03996689,-0.09175918,0.8428972,60857406,BusStop_1+
0.040266264,-0.12723541,0.87657714,60857606,BusStop_1+
0.042062532,-0.12169693,0.8988808,60857806,BusStop_1+
0.01751358,-0.11705658,0.8668474,60858006,BusStop_1+
0.041314088,-0.11271561,0.81280977,60858206,BusStop_1+
0.033530273,-0.10508148,0.78466827,60858405,BusStop_1+
0.021405486,-0.124391325,0.8026309,60858606,BusStop_1+
0.016016694,-0.084723815,0.79140425,60858806,BusStop_1+
0.0124241635,-0.06975494,0.7818242,60859005,BusStop_1+
0.0050894166,-0.12543915,0.81924635,60859206,BusStop_1+
0.036823425,-0.083675995,0.81550413,60859407,BusStop_1+
0.006586304,-0.1420546,0.8068222,60859606,BusStop_1+
0.054337006,-0.07798782,0.86954176,60859806,BusStop_1+
0.025447082,-0.11825409,0.79993653,60860006,BusStop_1+
0.044607237,-0.1287323,0.8452922,60860206,BusStop_1+
0.00464035,-0.09250763,0.83286804,60860406,BusStop_1+
0.03487747,-0.11600876,0.8313711,60860606,BusStop_1+
0.027093658,-0.08966354,0.848286,60860806,BusStop_1+
0.025896149,-0.106728055,0.8402028,60861006,BusStop_1+
0.035326537,-0.09744736,0.83256865,60861206,BusStop_1+
0.03742218,-0.103135526,0.82747924,60861406,BusStop_1+
0.028291168,-0.105829924,0.8120613,60861606,BusStop_1+
-0.004191284,-0.11541,0.79769117,60861806,BusStop_1+
