0.11196716,-0.18726058,0.90037763,64240548
0.13082795,-0.09235794,0.9425899,64240748
-0.49921188,-0.05882767,0.27887008,64240948
-0.314496,-0.16839981,1.1822416,64241148
-0.26884094,-0.12558883,0.74515045,64241348
-0.4245172,-0.066761166,0.38993913,64241548
-0.4432283,-0.15687378,1.1448194,64241748
-0.31464568,-0.0981958,0.59351575,64241948
-0.352966,-0.11885285,0.63932055,64242148
-0.32272887,-0.2321672,0.77269316,64260148
-0.19324814,-0.10642868,0.8038284,64283149,Junction_1+
-0.21480331,-0.08637039,0.8081694,64283349,Junction_1+
-0.20462447,-0.084723815,0.8002359,64283549,Junction_1+
-0.19414628,-0.07499405,0.79454774,64283749,Junction_1+
-0.2535727,-0.0916095,0.9318123,64283949,Junction_1+
-0.35401383,-0.07918534,0.96683943,64284149,Junction_1+
-0.32946488,-0.13217515,0.86160827,64284349,Junction_1+
-0.23186783,-0.15358062,0.77718383,64284549,Junction_1+
-0.2296225,-0.0889151,0.77957886,64284749,Junction_1+
-0.1567241,-0.07858658,0.74739575,64284949,Junction_1+
-0.17019607,-0.13876145,0.7762857,64285149,Junction_1+
-0.16765137,-0.06661148,0.7776329,64285349,Junction_1+
-0.25536895,-0.06331833,0.8071216,64285549,Junction_1+
-0.42781037,-5.987549E-4,0.83256865,64285749,Junction_1+
-0.49951127,0.004939728,0.7048842,64285949,Junction_1+
-0.6212082,-0.07619156,0.74604857,64286149,Junction_1+
-0.531844,-0.024998017,0.62315416,64286349,Junction_1+
-0.5125342,0.020357667,0.728535,64286548,Junction_1+
-0.50490004,-0.08307724,0.7529343,64286749,Junction_1+
-0.61028093,-0.20103195,0.77329195,64286949,Junction_1+
-0.6969507,-0.17633331,0.6490503,64287149,Junction_1+
-0.62450135,-0.3606001,0.73302567,64287349,Junction_1+
-0.511636,-0.35131943,0.41493714,64287549,Junction_1+
-0.5632787,-0.3649411,0.6050418,64287749,Junction_1+
-0.20222946,-0.23605911,0.7447014,64287949,Junction_1+
-0.106728055,-0.124241635,0.48633865,64288148,Junction_1+
0.50235534,-0.12723541,1.2034973,64288349,Junction_1+
0.66686326,-0.15388,0.99483126,64288548,Junction_1+
0.18531464,0.07185058,0.74739575,64288749,Junction_1+
-0.2522255,-0.1525328,0.8602611,64288949,Junction_1+
-0.13741425,-0.3686833,0.8643027,64289149,Junction_1+
-0.26629624,-0.23575974,0.79679304,64289349,Junction_1+
0.6499484,-0.25536895,1.33687,64289549,Junction_1+
0.4179309,-0.11496094,0.2561174,64289749,Junction_1+
-0.122744754,0.27617568,1.3204042,64289949,Junction_1+
-0.8890013,-0.11376343,0.5809419,64290149
-0.6274951,-0.4698729,0.38455033,64290349
-0.18755996,-0.38050872,1.2401711,64290549
-0.5170248,0.35790575,0.040715333,64290749
-0.3170407,-0.6158194,0.8523276,64290949
0.09056167,-0.3821553,0.86864364,64291149
-0.7614665,1.1957135,1.0668315,64291349
-0.2389032,-0.42212218,0.49023056,64291549
-0.28500733,-0.6089337,1.2249027,64291749
-0.37347335,1.2093352,0.5701643,64291949
