#lat,long,speed,altitude,time
23.56441069496777,87.28299846722142,0.0,27.01755697113152,05:45:37
23.56441069496777,87.28299846722142,0.0,46.5312803181239,05:45:42
23.579724725658878,87.27344260866634,0.0,19.86945721840846,05:59:51
23.579724725658878,87.27344260866634,0.0,20.175789848530812,05:59:52
23.579724725658878,87.27344260866634,0.0,20.442992760711295,05:59:53
23.580431795504776,87.27393462155979,6.338616847991943,40.695775544368765,06:00:17
23.580431795504776,87.27393462155979,0.0,40.6941216062378,06:00:18
23.580501272227803,87.2740143961109,4.0095672607421875,40.65630666462398,06:00:20
23.580501272227803,87.2740143961109,0.0,40.65239814274547,06:00:21,BusStop_7+
23.580501272227803,87.2740143961109,0.0,40.64072031159325,06:00:22,BusStop_7+
23.580501272227803,87.2740143961109,0.0,40.628949738538154,06:00:23,BusStop_7+
23.580501272227803,87.2740143961109,0.0,40.36480372548777,06:00:24,BusStop_7+
23.580571616046036,87.27402144214692,2.0644726753234863,40.134507808441214,06:00:25
23.580612376314345,87.27402021817919,3.5266499519348145,39.952738873976024,06:00:26
23.580655595267007,87.27402479317571,4.010685920715332,39.79972752450931,06:00:27
23.58070423914138,87.27404086682088,4.952158451080322,38.3417452746135,06:00:28
23.58075151033694,87.27406504051626,5.251753807067871,37.12287675227962,06:00:29
23.582401966941067,87.27604456397563,3.9452240467071533,48.70032760176279,06:01:10
23.582401966941067,87.27604456397563,0.0,48.697133309425794,06:01:11,BusStop_8+
23.582401966941067,87.27604456397563,0.0,48.69762697713602,06:01:12,BusStop_8+
23.582362623326702,87.27609298115438,3.1388168334960938,48.644273185596376,06:01:13,BusStop_8+
23.582362623326702,87.27609298115438,0.0,48.64432115346487,06:01:14,BusStop_8+
23.582362623326702,87.27609298115438,0.0,48.64707738749006,06:01:15,BusStop_8+
23.582350356548652,87.27611633176292,2.6700782775878906,48.602436561805526,06:01:16,BusStop_8+
23.582350356548652,87.27611633176292,0.0,48.59488163976578,06:01:17,BusStop_8+
23.582350356548652,87.27611633176292,0.0,48.57613525321862,06:01:18,BusStop_8+
23.582311920480837,87.27616370541156,2.1880993843078613,48.344964740907734,06:01:19,BusStop_8+
23.582311920480837,87.27616370541156,0.0,48.32109823253997,06:01:20,BusStop_8+
23.582311920480837,87.27616370541156,0.0,48.298894532939784,06:01:21,BusStop_8+
23.58230328895989,87.276177050282,1.607391595840454,48.156989031506505,06:01:22,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.150630608889514,06:01:23,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.163234268054964,06:01:24,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.31640134206628,06:01:25,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.32757506837846,06:01:26,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.33778546196212,06:01:27,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.36440789646329,06:01:28,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.483027067796606,06:01:29,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.5567112450857,06:01:30,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.58276115779942,06:01:31,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.579775978828174,06:01:32,BusStop_8+
