Latitude,Longitude,Wait time,Trail_no
23.5036833333,87.3077916667,2,june055
23.5036616667,87.3077583333,4,june057
23.5037133333,87.3078083333,2,june3
23.5036266667,87.3077133333,55,june5
23.50361,87.3076916667,2,june7
23.5003783333,87.306005,3,april4th3
23.5004083333,87.3059566667,8,april4th5
23.5002583333,87.3060116667,3,april4th7
23.500095,87.3061333333,9,april5th1
23.500355,87.306045,3,april5th3
23.5002983333,87.3059666667,7,april5th5
23.5002816667,87.3059883333,20,april5th7
23.50042,87.305955,16,april5th9
23.5003933333,87.3059466667,2,june033
23.50046,87.3059683333,10,june045
23.500475,87.3059166667,7,june047
23.5003866667,87.3059666667,8,june049
23.5003266667,87.3059983333,4,june051
23.5002916667,87.306075,7,june055
23.5003516667,87.3059833333,3,june3
23.50042,87.305935,6,june5
23.5003116667,87.305975,6,june7
23.4965516667,87.3134916667,10,april4th3
23.49648,87.3135566667,3,april5th5
23.4964633333,87.3135916667,13,april5th7
23.49464,87.3171783333,194,april4th3
23.4946233333,87.3171816667,286,april4th5
23.4946216667,87.3171466667,145,april4th7
23.4946316667,87.3171866667,266,april5th1
23.4946016667,87.3171616667,224,april5th3
23.494225,87.3171066667,94,april5th5
23.4945866667,87.31716,251,april5th7
23.49465,87.3171466667,371,april5th9
23.4946116667,87.31721,53,june033
23.4945866667,87.31722,62,june035
23.4943366667,87.3170816667,64,june041
23.4944433333,87.317145,135,june043
23.4946116667,87.31718,124,june045
23.4946266667,87.3171866667,142,june047
23.4946183333,87.3172166667,251,june049
23.4946033333,87.317195,187,june051
23.4943383333,87.3170966667,79,june053
23.4946333333,87.3172133333,302,june055
23.494635,87.317195,105,june057
23.494625,87.3171633333,247,june3
23.4946666667,87.3171416667,240,june5
23.49461,87.3171716667,95,june7
23.5672433333,87.2868066667,6,april4th5
23.5674266667,87.286905,3,april5th7
23.5720083333,87.2852883333,2,april4th5
23.57196,87.285215,7,june053
23.5720183333,87.2853666667,12,june055
23.5786716667,87.2826966667,14,april4th5
23.57867,87.282705,4,april4th7
23.5786016667,87.28271,6,april5th3
23.578585,87.28268,4,april5th7
23.578645,87.2826583333,5,june047
23.57867,87.2827133333,2,june051
23.5786533333,87.2827166667,3,june053
23.57978,87.283385,7,april4th5
23.57999,87.283445,3,june3
23.574115,87.29162,5,april4th5
23.574055,87.2918983333,3,june033
23.574105,87.29154,12,june043
23.57172,87.3025966667,12,april4th5
23.5715,87.3025616667,26,april5th5
23.5711916667,87.3025183333,3,june053
23.5715533333,87.3025233333,6,june057
23.5681316667,87.2988916667,7,april4th5
23.568185,87.2988883333,17,april5th3
23.5681716667,87.2988866667,4,june035
23.5681516667,87.2988783333,8,june049
23.56814,87.29886,4,june051
23.568125,87.2988616667,32,june053
23.568175,87.298895,3,june055
23.5680783333,87.2988233333,4,june5
23.5512983333,87.296595,2,april4th5
23.5512616667,87.296565,2,april4th7
23.5512566667,87.2966216667,7,april5th1
23.5512216667,87.29662,29,april5th5
23.5516166667,87.2965933333,5,june043
23.548245,87.303785,11,april4th5
23.5482016667,87.303775,6,april5th7
23.5482133333,87.3038216667,7,june051
23.548215,87.3037333333,6,june053
23.5424933333,87.3069683333,20,april4th5
23.5424533333,87.3069716667,10,april4th7
23.54243,87.3069483333,11,april5th1
23.5424566667,87.3070483333,18,april5th3
23.54246,87.3069483333,26,april5th5
23.5424033333,87.306935,5,april5th7
23.54245,87.3069483333,12,june043
23.5424683333,87.3069116667,3,june047
23.542455,87.30692,2,june049
23.5424183333,87.3069433333,11,june053
23.538875,87.2982166667,7,april4th5
23.53887,87.2982083333,8,april4th7
23.538615,87.2980533333,22,april5th1
23.5388316667,87.2981916667,6,april5th5
23.538795,87.2981566667,4,june043
23.53887,87.2982466667,2,june055
23.5388466667,87.29819,3,june3
23.581025,87.27805,13,april4th7
23.5625883333,87.29875,3,april4th7
23.5626883333,87.2987933333,2,april5th5
23.562525,87.2987883333,5,april5th7
23.5624983333,87.2987716667,2,june049
23.5626216667,87.298785,3,june057
23.5422683333,87.3064216667,5,april4th7
23.5190083333,87.311265,11,april4th7
23.5193633333,87.3112716667,2,april5th3
