#x,y,z,time
-0.10013486,-0.06924219,-0.1438107,65280894
-0.1736381,0.19281286,-0.083090626,65281094
-0.1107875,-0.011717909,0.02876214,65281294
-0.22903186,-0.07563377,-0.041545313,65281494
-0.15233281,0.098004326,-0.02663161,65281694
-0.314253,0.07989483,0.030892668,65281894
-0.3771036,0.16298546,0.25566345,65282094
-0.24181503,0.44315,0.111852765,65282295
-0.035153728,-0.054328486,-0.05752428,65285493
-0.011717909,-0.044741105,0.00958738,65328093,BusStop_1+
0.008522116,-0.04261058,0.023435818,65328293,BusStop_1+
0.013848438,-0.008522116,0.01917476,65328494,BusStop_1+
-0.0063915867,-0.013848438,0.013848438,65328694,BusStop_1+
-0.034088463,-0.00958738,0.02876214,65328894,BusStop_1+
0.01917476,0.06072007,0.02663161,65329094,BusStop_1+
-0.02876214,-0.06924219,0.02130529,65329294,BusStop_1+
-0.034088463,-0.054328486,0.0010652645,65329494,BusStop_1+
-0.011717909,-0.024501082,0.008522116,65329694,BusStop_1+
-0.0127831735,-0.07669904,0.0031957934,65329894,BusStop_1+
-0.00958738,-0.03621899,-0.002130529,65330094,BusStop_1+
0.015978966,0.014913702,0.011717909,65330294,BusStop_1+
0.02663161,0.07882957,0.03195793,65330493,BusStop_1+
-0.0127831735,-0.03621899,0.011717909,65330694,BusStop_1+
-0.010652645,0.0031957934,0.029827405,65330894,BusStop_1+
0.029827405,0.07563377,0.02663161,65331094,BusStop_1+
-0.044741105,-0.07989483,-0.0031957934,65331294,BusStop_1+
-0.010652645,-0.08628642,-0.0010652645,65331494,BusStop_1+
0.027696876,-0.22370553,0.03621899,65331694,BusStop_1+
-0.25566345,-1.0056096,0.046871636,65331893,BusStop_1+
0.03834952,0.07882957,-0.02130529,65332094,BusStop_1+
0.10120012,0.0777643,0.015978966,65332294,BusStop_1+
-0.12144014,-0.55500275,-0.070307456,65332494,BusStop_1+
0.00958738,-0.5901565,-0.1587244,65332694,BusStop_1+
-0.08735169,-0.26205504,-0.025566347,65332894,BusStop_1+
-0.02663161,0.008522116,-0.007456851,65333094,BusStop_1+
0.14913702,0.17044231,0.033023197,65333294,BusStop_1+
-0.13422331,-0.185356,0.10226539,65333494,BusStop_1+
-0.015978966,-0.043675844,0.018109495,65333693,BusStop_1+
-0.049002163,0.011717909,-0.06924219,65333894,BusStop_1+
-0.05006743,-0.22903186,0.010652645,65334094,BusStop_1+
-0.03621899,-0.10439591,0.0031957934,65334294,BusStop_1+
-0.07456851,-0.08841695,-0.20133498,65334494,BusStop_1+
-0.049002163,-0.23329291,-0.04261058,65334694,BusStop_1+
-0.111852765,-0.17044231,-0.17896442,65334894,BusStop_1+
0.13102752,0.38562572,0.11930962,65335093,BusStop_1+
0.22583605,0.07350325,0.21944447,65335294,BusStop_1+
-0.07243798,0.0010652645,0.28122982,65335494,BusStop_1+
-0.094808534,-0.066046394,0.029827405,65335694,BusStop_1+
-0.061785337,0.18748654,0.12996227,65335894,BusStop_1+
-0.02130529,-0.037284255,0.0010652645,65336094,BusStop_1+
0.007456851,-0.1107875,0.00958738,65336293,BusStop_1+
-0.025566347,-0.043675844,0.01917476,65336494,BusStop_1+
-0.035153728,-0.05006743,0.014913702,65336694,BusStop_1+
-0.018109495,-0.011717909,0.014913702,65336894,BusStop_1+
0.0053263223,0.10333065,0.010652645,65337094,BusStop_1+
0.008522116,0.10652644,0.0,65337294,BusStop_1+
-0.010652645,-0.02663161,0.0,65337494,BusStop_1+
-0.07137272,0.07350325,0.024501082,65337694,BusStop_1+
