-0.0010652645,-0.0063915867,0.011717909,66546791,Junction_1+
-0.049002163,-0.020240024,-0.0010652645,66546990,Junction_1+
-0.0628506,-0.0777643,0.00958738,66547191,Junction_1+
-0.013848438,-0.0958738,0.00958738,66547390,Junction_1+
0.03621899,-0.015978966,0.013848438,66547590,Junction_1+
0.043675844,0.051132694,0.010652645,66547790,Junction_1+
0.030892668,0.07456851,0.010652645,66547990,Junction_1+
-0.05752428,0.004261058,-0.00958738,66548190,Junction_1+
-0.08948221,-0.046871636,0.010652645,66548390,Junction_1+
-0.051132694,-0.07563377,-0.004261058,66548591,Junction_1+
0.034088463,-0.082025364,0.0053263223,66548791,Junction_1+
0.05006743,-0.02876214,0.011717909,66548991,Junction_1+
0.011717909,0.040480047,0.014913702,66549191,Junction_1+
-0.05006743,-0.002130529,0.0053263223,66549391,Junction_1+
-0.06498113,-0.027696876,0.007456851,66549591,Junction_1+
-0.027696876,-0.09161274,0.017044231,66549791,Junction_1+
0.027696876,-0.07563377,0.0053263223,66549991,Junction_1+
0.06072007,-0.0053263223,0.015978966,66550191,Junction_1+
0.0479369,0.07350325,0.0127831735,66550390,Junction_1+
-0.010652645,0.015978966,0.008522116,66550591,Junction_1+
-0.068176925,-0.0031957934,-0.0063915867,66550791,Junction_1+
-0.054328486,-0.07350325,0.010652645,66550991,Junction_1+
0.018109495,-0.10333065,0.013848438,66551191,Junction_1+
0.08841695,-0.05006743,0.0127831735,66551391,Junction_1+
0.07350325,-0.0063915867,0.004261058,66551591,Junction_1+
0.004261058,0.0479369,0.007456851,66551791,Junction_1+
-0.07137272,0.0053263223,-0.0010652645,66551991,Junction_1+
-0.0777643,0.007456851,0.002130529,66552191,Junction_1+
-0.05539375,-0.01917476,0.018109495,66552392,Junction_1+
0.011717909,-0.034088463,0.018109495,66552591,Junction_1+
0.07456851,-0.066046394,-0.002130529,66552791,Junction_1+
0.06391586,0.023435818,0.008522116,66552991,Junction_1+
-0.0031957934,0.067111656,-0.007456851,66553191,Junction_1+
-0.070307456,0.06391586,-0.018109495,66553391,Junction_1+
-0.07350325,0.0,-0.002130529,66553591,Junction_1+
-0.02876214,-0.066046394,0.022370553,66553791,Junction_1+
0.06072007,-0.13102752,0.020240024,66553991,Junction_1+
