-0.16511598,-0.9534117,-0.049002163,66894617,BrokenRoad_2+
-0.588026,-0.17789917,0.128897,66894817,BrokenRoad_2+
-0.33981934,0.46232477,-0.22264026,66895017,BrokenRoad_2+
-0.3121225,0.63383234,0.1257012,66895217,BrokenRoad_2+
-0.03621899,-0.05539375,0.07350325,66895417,BrokenRoad_2+
0.22370553,0.12144014,-0.2961435,66895618,BrokenRoad_2+
-0.015978966,-0.46552056,-0.12144014,66895817,BrokenRoad_2+
-0.21305288,0.17257284,-0.21944447,66896018,BrokenRoad_2+
-0.098004326,-0.30999196,-0.21305288,66896217,BrokenRoad_2+
-0.09161274,0.13848437,0.020240024,66896416,BrokenRoad_2+
-0.068176925,0.25033715,-0.12463594,66896618,BrokenRoad_2+
-0.14807175,0.10333065,0.22796659,66896818,BrokenRoad_2+
-0.21944447,0.066046394,-0.052197956,66897018
-0.027696876,0.6796387,-0.07989483,66897218
-0.09054748,-0.21518342,-0.113983296,66897417
-0.12463594,0.052197956,0.109722234,66897618
-0.08415589,0.0777643,0.16192019,66897818
-0.20133498,-0.10013486,0.05752428,66898018
0.067111656,0.02130529,0.014913702,66898217
0.49002165,-0.64341974,0.17576863,66898418
0.47191215,0.099069595,-0.0053263223,66898617
0.46871635,-0.47510794,-0.011717909,66898817
-0.05539375,-0.32810146,-0.0777643,67160829
-0.33129725,0.11504856,-0.0127831735,67161029
0.07243798,-0.039414786,0.1107875,67161229
0.05539375,0.0127831735,0.0479369,67161428
0.12676647,-0.20879182,-0.0031957934,67161629
-0.10759171,-0.25033715,-0.010652645,67161829
-0.24714135,0.43249735,0.052197956,67162029
-0.020240024,-0.051132694,-0.0031957934,67162228
-0.15020229,0.15446334,-0.0127831735,67162428
0.5592638,0.28442562,0.22690132,67166430
0.5592638,0.008522116,0.16937704,67166629,BrokenRoad_3+
-0.4495416,0.592287,0.0031957934,67166829,BrokenRoad_3+
-0.6625945,0.813862,-0.041545313,67167029,BrokenRoad_3+
-0.10759171,-0.07137272,-0.0063915867,67167229,BrokenRoad_3+
0.15978967,-0.11824435,0.035153728,67167428,BrokenRoad_3+
0.32703617,0.26418558,-0.0053263223,67167629,BrokenRoad_3+
0.26525083,-0.5986786,-0.13102752,67167829
-0.4346279,-0.2929477,0.004261058,67168029
0.2790993,-0.26631612,0.049002163,67168229
-0.5113269,0.3174488,-0.061785337,67168428
